IP地址,端口,机房,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
154.219.5.37,8443,SEA,4,4,0,207.82,94.19
94.242.231.0,2087,SEA,4,4,0,206.79,93.59
185.159.247.214,2087,LAX,4,4,0,207.81,91.59
185.148.104.31,2083,LAX,4,4,0,206.45,88.29
205.233.181.178,2096,LAX,4,4,0,207.89,83.76
185.18.250.130,2053,SEA,4,4,0,208.39,81.89
185.146.173.146,2053,HKG,4,4,0,69.57,61.09
45.159.216.204,2087,SEA,4,4,0,208.25,40.84
154.83.2.1,2096,LAX,4,4,0,208.21,39.53
185.146.173.146,2087,HKG,4,4,0,64.04,35.4
23.227.60.72,2087,HKG,4,4,0,71.14,21.79
185.146.173.146,2096,HKG,4,4,0,69.97,15.78
172.64.109.2,2083,HKG,4,4,0,105.35,10.38
172.64.109.2,2087,HKG,4,4,0,105.93,9.03
172.64.109.2,8443,HKG,4,4,0,107.3,6.91
172.64.109.2,2096,HKG,4,4,0,105.38,6.85
172.64.109.2,443,HKG,4,4,0,111.78,6.8
172.64.109.2,2053,HKG,4,4,0,103.75,6.27
172.65.32.14,443,SEA,4,4,0,197.53,0
170.114.52.37,443,SEA,4,4,0,195.66,0
